race_date,venue_code,race_no,lane,finish,is_win,is_top3,course_base_winrate,rank_num,age,weight,flying_count,late_count,avg_start_time,win_rate_all,win_rate_2,win_rate_3,local_win_rate,local_win_rate_2,local_win_rate_3,motor_2rate,boat_2rate
20250827,12,2,1,6.0,0.0,0.0,0.555,2,20.0,52.3,0,0,0.18,3.78,19.28,27.71,0.0,0.0,0.0,20.51,45.95
20250827,12,2,4,5.0,0.0,0.0,0.087,1,,,0,0,,1.0,,,3.0,,,,
20250827,12,2,6,4.0,0.0,0.0,0.033,1,,,0,0,,2.0,,,2.0,,,,
20250827,12,2,2,1.0,1.0,1.0,0.154,2,45.0,54.7,0,0,0.18,5.11,33.33,51.28,5.0,44.44,44.44,33.33,30.38
20250827,12,2,4,5.0,0.0,0.0,0.087,1,,,0,0,,2.0,,,6.0,,,,
20250827,12,2,5,3.0,0.0,1.0,0.057,1,,,0,0,,6.0,,,6.0,,,,
20250827,12,2,3,2.0,0.0,1.0,0.114,2,36.0,50.0,0,0,0.17,4.92,27.27,45.45,4.33,33.33,33.33,34.94,28.38
20250827,12,2,6,4.0,0.0,0.0,0.033,1,,,0,0,,5.0,,,,,,,
20250827,12,2,6,4.0,0.0,0.0,0.033,1,,,0,0,1.0,3.0,,,,,,,
20250827,12,2,4,5.0,0.0,0.0,0.087,1,19.0,52.1,0,0,0.18,1.73,2.33,5.81,1.86,0.0,14.29,24.39,26.67
20250827,12,2,6,4.0,0.0,0.0,0.033,1,,,0,0,,6.0,,,4.0,,,,
20250827,12,2,5,3.0,0.0,1.0,0.057,1,,,0,0,,5.0,,,6.0,,,,
20250827,12,2,5,3.0,0.0,1.0,0.057,2,54.0,52.1,0,0,0.21,4.73,26.55,42.48,4.06,5.56,33.33,17.57,28.95
20250827,12,2,4,5.0,0.0,0.0,0.087,1,,,0,0,,3.0,,,,,,,
20250827,12,2,2,1.0,1.0,1.0,0.154,1,,,0,0,,5.0,,,,,,,
20250827,12,2,6,4.0,0.0,0.0,0.033,4,39.0,51.5,1,0,0.17,6.88,51.16,73.26,5.95,39.73,58.9,31.65,34.94
20250827,12,2,3,2.0,0.0,1.0,0.114,1,,,0,0,,6.0,,,4.0,,,,
20250827,12,3,1,3.0,0.0,1.0,0.555,2,47.0,54.7,0,0,0.17,4.97,27.1,47.66,5.5,29.41,55.88,26.25,29.11
20250827,12,3,6,5.0,0.0,0.0,0.033,1,,,0,0,,5.0,,,3.0,,,,
20250827,12,3,2,6.0,0.0,0.0,0.154,2,52.0,52.0,0,0,0.2,5.12,29.41,45.38,3.67,16.67,16.67,36.84,25.68
20250827,12,3,1,3.0,0.0,1.0,0.555,1,,,0,0,,2.0,,,6.0,,,,
20250827,12,3,2,6.0,0.0,0.0,0.154,1,,,0,0,,5.0,,,6.0,,,,
20250827,12,3,3,2.0,0.0,1.0,0.114,3,51.0,51.5,0,0,0.14,5.71,43.48,57.39,3.8,20.0,26.67,23.68,31.08
20250827,12,3,2,6.0,0.0,0.0,0.154,1,,,0,0,,1.0,,,4.0,,,,
20250827,12,3,3,2.0,0.0,1.0,0.114,1,,,0,0,,1.0,,,2.0,,,,
20250827,12,3,4,4.0,0.0,0.0,0.087,3,30.0,52.0,0,0,0.15,4.92,30.53,45.26,4.45,18.18,39.39,34.57,25.71
20250827,12,3,3,2.0,0.0,1.0,0.114,1,,,0,0,,5.0,,,,,,,
20250827,12,3,2,6.0,0.0,0.0,0.154,1,,,0,0,,3.0,,,,,,,
20250827,12,3,5,1.0,1.0,1.0,0.057,3,49.0,53.9,0,0,0.18,6.2,42.42,67.42,5.74,40.24,59.76,36.9,30.77
20250827,12,3,1,3.0,0.0,1.0,0.555,1,,,0,0,,5.0,,,4.0,,,,
20250827,12,3,1,3.0,0.0,1.0,0.555,1,,,0,0,,4.0,,,2.0,,,,
20250827,12,3,6,5.0,0.0,0.0,0.033,2,58.0,52.1,0,0,0.22,3.6,12.5,27.27,2.75,0.0,0.0,37.5,25.32
20250827,12,3,4,4.0,0.0,0.0,0.087,1,,,0,0,,6.0,,,,,,,
20250827,12,3,5,1.0,1.0,1.0,0.057,1,,,0,0,,5.0,,,,,,,
20250827,12,4,1,1.0,1.0,1.0,0.555,2,30.0,52.6,0,0,0.18,5.42,32.11,58.72,5.58,36.36,51.52,34.94,32.05
20250827,12,4,5,4.0,0.0,0.0,0.057,1,,,0,0,,6.0,,,,,,,
20250827,12,4,5,4.0,0.0,0.0,0.057,1,,,0,0,,3.0,,,,,,,
20250827,12,4,2,2.0,0.0,1.0,0.154,2,40.0,52.3,0,0,0.18,4.84,27.52,44.04,4.83,38.89,38.89,24.0,21.62
20250827,12,4,2,2.0,0.0,1.0,0.154,1,,,0,0,,6.0,,,,,,,
20250827,12,4,4,6.0,0.0,0.0,0.087,1,,,0,0,,4.0,,,,,,,
20250827,12,4,3,3.0,0.0,1.0,0.114,4,43.0,54.9,0,0,0.13,6.24,45.86,63.91,6.41,51.35,67.57,29.11,36.71
20250827,12,4,1,1.0,1.0,1.0,0.555,1,,,0,0,,2.0,,,4.0,,,,
20250827,12,4,2,2.0,0.0,1.0,0.154,1,,,0,0,,6.0,,,2.0,,,,
20250827,12,4,4,6.0,0.0,0.0,0.087,2,43.0,53.2,0,0,0.18,4.11,17.07,32.52,4.21,18.42,44.74,22.22,29.63
20250827,12,4,5,4.0,0.0,0.0,0.057,1,,,0,0,,3.0,,,,,,,
20250827,12,4,4,6.0,0.0,0.0,0.087,1,,,0,0,,4.0,,,,,,,
20250827,12,4,5,4.0,0.0,0.0,0.057,2,32.0,51.0,0,0,0.18,4.42,25.38,40.0,5.37,36.84,47.37,34.94,34.43
20250827,12,4,6,5.0,0.0,0.0,0.033,1,,,0,0,,1.0,,,5.0,,,,
20250827,12,4,6,5.0,0.0,0.0,0.033,1,,,0,0,,2.0,,,4.0,,,,
20250827,12,4,6,5.0,0.0,0.0,0.033,3,45.0,56.8,0,0,0.16,6.32,40.0,67.69,6.28,41.67,66.67,32.05,32.43
20250827,12,4,2,2.0,0.0,1.0,0.154,1,,,0,0,,4.0,,,5.0,,,,
20250827,12,4,6,5.0,0.0,0.0,0.033,1,,,0,0,,5.0,,,5.0,,,,
20250827,12,5,1,1.0,1.0,1.0,0.555,3,39.0,52.5,0,0,0.17,5.7,37.59,56.74,6.8,50.0,70.0,41.67,45.68
20250827,12,5,6,3.0,0.0,1.0,0.033,1,,,0,0,,3.0,,,1.0,,,,
20250827,12,5,3,2.0,0.0,1.0,0.114,1,,,0,0,,1.0,,,1.0,,,,
20250827,12,5,2,6.0,0.0,0.0,0.154,2,41.0,51.0,0,0,0.17,4.81,22.22,44.44,4.06,15.15,30.3,32.1,20.78
20250827,12,5,5,4.0,0.0,0.0,0.057,1,,,0,0,,6.0,,,,,,,
20250827,12,5,5,4.0,0.0,0.0,0.057,1,,,0,0,,4.0,,,,,,,
20250827,12,5,3,2.0,0.0,1.0,0.114,2,46.0,54.0,0,0,0.15,4.95,28.13,52.08,4.64,28.0,48.0,25.97,53.25
20250827,12,5,1,1.0,1.0,1.0,0.555,1,,,0,0,,4.0,,,6.0,,,,
20250827,12,5,1,1.0,1.0,1.0,0.555,1,,,0,0,,4.0,,,6.0,,,,
20250827,12,5,4,5.0,0.0,0.0,0.087,2,18.0,52.0,1,0,0.17,2.84,6.49,19.48,2.0,0.0,0.0,33.73,32.53
20250827,12,5,5,4.0,0.0,0.0,0.057,1,,,0,0,,6.0,,,4.0,,,,
20250827,12,5,4,5.0,0.0,0.0,0.087,1,,,0,0,,5.0,,,6.0,,,,
20250827,12,5,5,4.0,0.0,0.0,0.057,2,42.0,51.5,0,0,0.18,4.34,25.77,39.18,4.12,20.0,36.0,43.9,37.35
20250827,12,5,5,4.0,0.0,0.0,0.057,1,,,0,0,,2.0,,,3.0,,,,
20250827,12,5,3,2.0,0.0,1.0,0.114,1,,,0,0,,2.0,,,6.0,,,,
20250827,12,5,6,3.0,0.0,1.0,0.033,4,38.0,52.2,0,0,0.19,6.91,51.14,77.27,6.7,60.0,75.0,21.79,35.53
20250827,12,5,1,1.0,1.0,1.0,0.555,1,,,0,0,,2.0,,,,,,,
20250827,12,5,2,6.0,0.0,0.0,0.154,1,,,0,0,,2.0,,,,,,,
20250827,12,6,1,6.0,0.0,0.0,0.555,2,44.0,52.1,0,0,0.15,5.23,31.67,50.83,4.95,35.9,43.59,24.32,36.51
20250827,12,6,5,5.0,0.0,0.0,0.057,1,,,0,0,,1.0,,,,,,,
20250827,12,6,4,4.0,0.0,0.0,0.087,1,,,0,0,,1.0,,,,,,,
20250827,12,6,2,3.0,0.0,1.0,0.154,2,54.0,52.1,0,0,0.21,4.73,26.55,42.48,4.06,5.56,33.33,17.57,28.95
20250827,12,6,4,4.0,0.0,0.0,0.087,1,,,0,0,,3.0,,,,,,,
20250827,12,6,2,3.0,0.0,1.0,0.154,1,,,0,0,,5.0,,,,,,,
20250827,12,6,3,2.0,0.0,1.0,0.114,2,42.0,51.0,0,0,0.17,4.78,23.53,47.9,3.71,23.53,23.53,37.35,31.34
20250827,12,6,2,3.0,0.0,1.0,0.154,1,,,0,0,,4.0,,,1.0,,,,
20250827,12,6,3,2.0,0.0,1.0,0.114,1,,,0,0,,3.0,,,4.0,,,,
20250827,12,6,4,4.0,0.0,0.0,0.087,4,35.0,52.2,1,0,0.13,5.88,40.83,61.67,5.5,33.33,50.0,45.83,36.76
20250827,12,6,4,4.0,0.0,0.0,0.087,1,,,0,0,,5.0,,,2.0,,,,
20250827,12,6,4,4.0,0.0,0.0,0.087,1,,,0,0,,5.0,,,4.0,,,,
20250827,12,6,5,5.0,0.0,0.0,0.057,2,20.0,52.3,0,0,0.18,3.78,19.28,27.71,0.0,0.0,0.0,20.51,45.95
20250827,12,6,4,4.0,0.0,0.0,0.087,1,,,0,0,,1.0,,,3.0,,,,
20250827,12,6,6,1.0,1.0,1.0,0.033,1,,,0,0,,2.0,,,2.0,,,,
20250827,12,6,6,1.0,1.0,1.0,0.033,4,45.0,52.0,0,0,0.17,6.7,57.42,72.9,5.0,33.33,44.44,16.25,23.29
20250827,12,6,6,1.0,1.0,1.0,0.033,1,,,0,0,,3.0,,,1.0,,,,
20250827,12,6,6,1.0,1.0,1.0,0.033,1,,,0,0,,3.0,,,1.0,,,,
20250827,12,7,1,5.0,0.0,0.0,0.555,3,43.0,52.0,1,0,0.15,6.12,38.85,62.59,5.4,26.67,66.67,39.76,37.31
20250827,12,7,3,1.0,1.0,1.0,0.114,1,,,0,0,1.0,2.0,,,5.0,,,,
20250827,12,7,2,3.0,0.0,1.0,0.154,1,,,0,0,,1.0,,,3.0,,,,
20250827,12,7,2,3.0,0.0,1.0,0.154,2,42.0,52.0,0,0,0.2,4.22,20.33,33.33,4.5,33.33,50.0,23.38,25.64
20250827,12,7,4,2.0,0.0,1.0,0.087,1,,,0,0,,1.0,,,,,,,
20250827,12,7,6,6.0,0.0,0.0,0.033,1,,,0,0,,5.0,,,,,,,
20250827,12,7,3,1.0,1.0,1.0,0.114,3,42.0,54.3,0,0,0.18,5.33,35.24,50.48,5.2,44.0,56.0,42.17,48.75
20250827,12,7,6,6.0,0.0,0.0,0.033,1,,,0,0,1.0,5.0,,,,,,,
20250827,12,7,3,1.0,1.0,1.0,0.114,1,,,0,0,,3.0,,,,,,,
20250827,12,7,4,2.0,0.0,1.0,0.087,2,36.0,50.0,0,0,0.17,4.92,27.27,45.45,4.33,33.33,33.33,34.94,28.38
20250827,12,7,6,6.0,0.0,0.0,0.033,1,,,0,0,,5.0,,,,,,,
20250827,12,7,6,6.0,0.0,0.0,0.033,1,,,0,0,1.0,3.0,,,,,,,
20250827,12,7,5,4.0,0.0,0.0,0.057,2,52.0,52.0,0,0,0.2,5.12,29.41,45.38,3.67,16.67,16.67,36.84,25.68
20250827,12,7,1,5.0,0.0,0.0,0.555,1,,,0,0,,2.0,,,6.0,,,,
20250827,12,7,2,3.0,0.0,1.0,0.154,1,,,0,0,,5.0,,,6.0,,,,
20250827,12,7,6,6.0,0.0,0.0,0.033,1,19.0,52.1,0,0,0.18,1.73,2.33,5.81,1.86,0.0,14.29,24.39,26.67
20250827,12,7,6,6.0,0.0,0.0,0.033,1,,,0,0,,6.0,,,4.0,,,,
20250827,12,7,5,4.0,0.0,0.0,0.057,1,,,0,0,,5.0,,,6.0,,,,
20250827,12,8,1,2.0,0.0,1.0,0.555,3,30.0,52.0,0,0,0.15,4.92,30.53,45.26,4.45,18.18,39.39,34.57,25.71
20250827,12,8,3,1.0,1.0,1.0,0.114,1,,,0,0,,5.0,,,,,,,
20250827,12,8,2,5.0,0.0,0.0,0.154,1,,,0,0,,3.0,,,,,,,
20250827,12,8,2,5.0,0.0,0.0,0.154,2,43.0,53.2,0,0,0.18,4.11,17.07,32.52,4.21,18.42,44.74,22.22,29.63
20250827,12,8,5,4.0,0.0,0.0,0.057,1,,,0,0,,3.0,,,,,,,
20250827,12,8,4,3.0,0.0,1.0,0.087,1,,,0,0,,4.0,,,,,,,
20250827,12,8,3,1.0,1.0,1.0,0.114,2,45.0,54.7,0,0,0.18,5.11,33.33,51.28,5.0,44.44,44.44,33.33,30.38
20250827,12,8,4,3.0,0.0,1.0,0.087,1,,,0,0,,2.0,,,6.0,,,,
20250827,12,8,5,4.0,0.0,0.0,0.057,1,,,0,0,,6.0,,,6.0,,,,
20250827,12,8,4,3.0,0.0,1.0,0.087,3,37.0,52.0,0,0,0.17,5.81,38.81,60.45,5.73,33.33,60.0,43.53,27.94
20250827,12,8,3,1.0,1.0,1.0,0.114,1,,,0,0,,5.0,,,6.0,,,,
20250827,12,8,3,1.0,1.0,1.0,0.114,1,,,0,0,,4.0,,,4.0,,,,
20250827,12,8,5,4.0,0.0,0.0,0.057,2,40.0,52.3,0,0,0.18,4.84,27.52,44.04,4.83,38.89,38.89,24.0,21.62
20250827,12,8,2,5.0,0.0,0.0,0.154,1,,,0,0,,6.0,,,,,,,
20250827,12,8,4,3.0,0.0,1.0,0.087,1,,,0,0,,4.0,,,,,,,
20250827,12,8,6,6.0,0.0,0.0,0.033,2,56.0,52.5,0,0,0.19,3.66,15.49,25.35,4.22,22.22,33.33,22.37,34.57
20250827,12,8,4,3.0,0.0,1.0,0.087,1,,,0,0,,4.0,,,2.0,,,,
20250827,12,8,4,3.0,0.0,1.0,0.087,1,,,0,0,,4.0,,,5.0,,,,
20250827,12,9,1,3.0,0.0,1.0,0.555,3,45.0,56.8,0,0,0.16,6.32,40.0,67.69,6.28,41.67,66.67,32.05,32.43
20250827,12,9,2,6.0,0.0,0.0,0.154,1,,,0,0,,4.0,,,5.0,,,,
20250827,12,9,6,4.0,0.0,0.0,0.033,1,,,0,0,,5.0,,,5.0,,,,
20250827,12,9,2,6.0,0.0,0.0,0.154,2,55.0,53.0,1,0,0.18,4.38,26.39,36.11,4.79,28.57,42.86,40.74,20.0
20250827,12,9,6,4.0,0.0,0.0,0.033,1,,,0,0,,4.0,,,5.0,,,,
20250827,12,9,6,4.0,0.0,0.0,0.033,1,,,0,0,,2.0,,,6.0,,,,
20250827,12,9,3,5.0,0.0,0.0,0.114,2,41.0,51.0,0,0,0.17,4.81,22.22,44.44,4.06,15.15,30.3,32.1,20.78
20250827,12,9,5,2.0,0.0,1.0,0.057,1,,,0,0,,6.0,,,,,,,
20250827,12,9,5,2.0,0.0,1.0,0.057,1,,,0,0,,4.0,,,,,,,
20250827,12,9,4,1.0,1.0,1.0,0.087,2,46.0,54.0,0,0,0.15,4.95,28.13,52.08,4.64,28.0,48.0,25.97,53.25
20250827,12,9,1,3.0,0.0,1.0,0.555,1,,,0,0,,4.0,,,6.0,,,,
20250827,12,9,1,3.0,0.0,1.0,0.555,1,,,0,0,,4.0,,,6.0,,,,
20250827,12,9,5,2.0,0.0,1.0,0.057,3,46.0,52.0,0,0,0.16,6.04,41.3,63.04,0.0,0.0,0.0,29.49,28.21
20250827,12,9,2,6.0,0.0,0.0,0.154,1,,,0,0,,4.0,,,1.0,,,,
20250827,12,9,2,6.0,0.0,0.0,0.154,1,,,0,0,,4.0,,,3.0,,,,
20250827,12,9,6,4.0,0.0,0.0,0.033,2,35.0,52.0,0,0,0.18,4.31,20.0,34.44,4.09,18.75,34.38,29.27,24.64
20250827,12,9,1,3.0,0.0,1.0,0.555,1,,,0,0,,2.0,,,,,,,
20250827,12,9,1,3.0,0.0,1.0,0.555,1,,,0,0,,5.0,,,,,,,
20250827,12,10,1,2.0,0.0,1.0,0.555,4,45.0,52.0,0,0,0.17,6.7,57.42,72.9,5.0,33.33,44.44,16.25,23.29
20250827,12,10,6,5.0,0.0,0.0,0.033,1,,,0,0,,3.0,,,1.0,,,,
20250827,12,10,6,5.0,0.0,0.0,0.033,1,,,0,0,,3.0,,,1.0,,,,
20250827,12,10,2,1.0,1.0,1.0,0.154,2,30.0,52.6,0,0,0.18,5.42,32.11,58.72,5.58,36.36,51.52,34.94,32.05
20250827,12,10,5,4.0,0.0,0.0,0.057,1,,,0,0,,6.0,,,,,,,
20250827,12,10,5,4.0,0.0,0.0,0.057,1,,,0,0,,3.0,,,,,,,
20250827,12,10,3,3.0,0.0,1.0,0.114,4,35.0,52.2,1,0,0.13,5.88,40.83,61.67,5.5,33.33,50.0,45.83,36.76
20250827,12,10,4,6.0,0.0,0.0,0.087,1,,,0,0,,5.0,,,2.0,,,,
20250827,12,10,4,6.0,0.0,0.0,0.087,1,,,0,0,,5.0,,,4.0,,,,
20250827,12,10,4,6.0,0.0,0.0,0.087,2,47.0,54.7,0,0,0.17,4.97,27.1,47.66,5.5,29.41,55.88,26.25,29.11
20250827,12,10,6,5.0,0.0,0.0,0.033,1,,,0,0,,5.0,,,3.0,,,,
20250827,12,10,5,4.0,0.0,0.0,0.057,3,39.0,52.5,0,0,0.17,5.7,37.59,56.74,6.8,50.0,70.0,41.67,45.68
20250827,12,10,6,5.0,0.0,0.0,0.033,1,,,0,0,,3.0,,,1.0,,,,
20250827,12,10,3,3.0,0.0,1.0,0.114,1,,,0,0,,1.0,,,1.0,,,,
20250827,12,10,6,5.0,0.0,0.0,0.033,3,51.0,51.5,0,0,0.14,5.71,43.48,57.39,3.8,20.0,26.67,23.68,31.08
20250827,12,10,2,1.0,1.0,1.0,0.154,1,,,0,0,,1.0,,,4.0,,,,
20250827,12,10,3,3.0,0.0,1.0,0.114,1,,,0,0,,1.0,,,2.0,,,,
20250827,12,11,1,2.0,0.0,1.0,0.555,4,38.0,52.2,0,0,0.19,6.91,51.14,77.27,6.7,60.0,75.0,21.79,35.53
20250827,12,11,1,2.0,0.0,1.0,0.555,1,,,0,0,,2.0,,,,,,,
20250827,12,11,2,1.0,1.0,1.0,0.154,1,,,0,0,,2.0,,,,,,,
20250827,12,11,2,1.0,1.0,1.0,0.154,3,49.0,53.9,0,0,0.18,6.2,42.42,67.42,5.74,40.24,59.76,36.9,30.77
20250827,12,11,1,2.0,0.0,1.0,0.555,1,,,0,0,,5.0,,,4.0,,,,
20250827,12,11,1,2.0,0.0,1.0,0.555,1,,,0,0,,4.0,,,2.0,,,,
20250827,12,11,3,5.0,0.0,0.0,0.114,2,44.0,52.1,0,0,0.15,5.23,31.67,50.83,4.95,35.9,43.59,24.32,36.51
20250827,12,11,5,6.0,0.0,0.0,0.057,1,,,0,0,,1.0,,,,,,,
20250827,12,11,4,3.0,0.0,1.0,0.087,1,,,0,0,,1.0,,,,,,,
20250827,12,11,4,3.0,0.0,1.0,0.087,3,43.0,52.0,1,0,0.15,6.12,38.85,62.59,5.4,26.67,66.67,39.76,37.31
20250827,12,11,3,5.0,0.0,0.0,0.114,1,,,0,0,1.0,2.0,,,5.0,,,,
20250827,12,11,2,1.0,1.0,1.0,0.154,1,,,0,0,,1.0,,,3.0,,,,
20250827,12,11,5,6.0,0.0,0.0,0.057,3,42.0,54.3,0,0,0.18,5.33,35.24,50.48,5.2,44.0,56.0,42.17,48.75
20250827,12,11,6,4.0,0.0,0.0,0.033,1,,,0,0,1.0,5.0,,,,,,,
20250827,12,11,3,5.0,0.0,0.0,0.114,1,,,0,0,,3.0,,,,,,,
20250827,12,11,6,4.0,0.0,0.0,0.033,4,43.0,54.9,0,0,0.13,6.24,45.86,63.91,6.41,51.35,67.57,29.11,36.71
20250827,12,11,1,2.0,0.0,1.0,0.555,1,,,0,0,,2.0,,,4.0,,,,
20250827,12,11,2,1.0,1.0,1.0,0.154,1,,,0,0,,6.0,,,2.0,,,,
20250827,12,12,1,1.0,1.0,1.0,0.555,4,44.0,52.0,0,0,0.14,7.81,61.79,80.49,7.23,60.0,80.0,42.5,26.32
20250827,12,12,3,3.0,0.0,1.0,0.114,1,,,0,0,,3.0,,,1.0,,,,
20250827,12,12,1,1.0,1.0,1.0,0.555,1,,,0,0,,1.0,,,1.0,,,,
20250827,12,12,2,2.0,0.0,1.0,0.154,3,30.0,52.9,1,0,0.12,5.38,28.09,49.44,5.83,36.67,56.67,34.94,25.71
20250827,12,12,5,6.0,0.0,0.0,0.057,1,,,0,0,,6.0,,,2.0,,,,
20250827,12,12,3,3.0,0.0,1.0,0.114,1,,,0,0,1.0,2.0,,,1.0,,,,
20250827,12,12,3,3.0,0.0,1.0,0.114,4,27.0,51.5,0,0,0.14,6.13,38.61,62.38,6.32,45.45,61.36,41.18,30.51
20250827,12,12,3,3.0,0.0,1.0,0.114,1,,,0,0,1.0,3.0,,,2.0,,,,
20250827,12,12,1,1.0,1.0,1.0,0.555,1,,,0,0,1.0,1.0,,,6.0,,,,
20250827,12,12,4,5.0,0.0,0.0,0.087,4,35.0,51.5,1,0,0.17,7.04,55.2,75.2,6.28,44.87,65.38,35.9,36.14
20250827,12,12,3,3.0,0.0,1.0,0.114,1,,,0,0,1.0,1.0,,,,,,,
20250827,12,12,1,1.0,1.0,1.0,0.555,1,,,0,0,1.0,1.0,,,,,,,
20250827,12,12,5,6.0,0.0,0.0,0.057,4,44.0,52.0,0,0,0.14,7.16,62.93,68.1,5.35,45.0,55.0,39.02,31.51
20250827,12,12,2,2.0,0.0,1.0,0.154,1,,,0,0,,5.0,,,3.0,,,,
20250827,12,12,1,1.0,1.0,1.0,0.555,1,,,0,0,,2.0,,,5.0,,,,
20250827,12,12,6,4.0,0.0,0.0,0.033,4,36.0,51.5,0,0,0.15,6.73,50.0,69.72,6.46,46.43,71.43,24.05,40.24
20250827,12,12,2,2.0,0.0,1.0,0.154,1,,,0,0,1.0,3.0,,,,,,,
20250827,12,12,1,1.0,1.0,1.0,0.555,1,,,0,0,,1.0,,,,,,,
20250827,01,1,1,1.0,1.0,1.0,0.555,2,58.0,57.3,1,0,0.19,3.28,12.82,21.79,4.08,14.29,36.73,42.36,31.65
20250827,01,1,6,6.0,0.0,0.0,0.033,1,,,0,0,,3.0,,,,,,,
20250827,01,1,3,3.0,0.0,1.0,0.114,1,,,0,0,,6.0,,,,,,,
20250827,01,1,2,4.0,0.0,0.0,0.154,3,24.0,52.0,0,0,0.17,5.7,31.82,57.95,5.47,29.41,58.82,33.88,34.19
20250827,01,1,4,2.0,0.0,1.0,0.087,1,,,0,0,,1.0,,,,,,,
20250827,01,1,1,1.0,1.0,1.0,0.555,1,,,0,0,,3.0,,,,,,,
20250827,01,1,3,3.0,0.0,1.0,0.114,3,44.0,52.5,0,0,0.18,5.2,36.08,46.39,6.12,45.61,57.89,45.07,31.17
20250827,01,1,6,6.0,0.0,0.0,0.033,1,,,0,0,,1.0,,,5.0,,,,
20250827,01,1,6,6.0,0.0,0.0,0.033,1,,,0,0,,2.0,,,2.0,,,,
20250827,01,1,4,2.0,0.0,1.0,0.087,2,36.0,52.0,0,0,0.16,5.68,34.44,60.0,5.58,26.32,68.42,32.95,33.54
20250827,01,1,1,1.0,1.0,1.0,0.555,1,,,0,0,,3.0,,,,,,,
20250827,01,1,2,4.0,0.0,0.0,0.154,1,,,0,0,,2.0,,,,,,,
20250827,01,1,5,5.0,0.0,0.0,0.057,2,22.0,52.0,1,0,0.18,2.4,9.57,12.77,2.67,20.0,20.0,27.93,32.21
20250827,01,1,3,3.0,0.0,1.0,0.114,1,,,0,0,,6.0,,,,,,,
20250827,01,1,6,6.0,0.0,0.0,0.033,2,37.0,51.5,0,0,0.18,4.36,21.62,41.44,4.12,23.08,34.62,36.57,33.33
20250827,01,1,3,3.0,0.0,1.0,0.114,1,,,0,0,,1.0,,,,,,,
20250827,01,1,6,6.0,0.0,0.0,0.033,1,,,0,0,,4.0,,,,,,,
20250827,01,2,1,6.0,0.0,0.0,0.555,2,57.0,52.0,1,0,0.18,3.14,11.54,19.23,4.5,33.33,33.33,29.71,25.9
20250827,01,2,6,2.0,0.0,1.0,0.033,1,,,0,0,,5.0,,,,,,,
20250827,01,2,6,2.0,0.0,1.0,0.033,1,,,0,0,,6.0,,,,,,,
20250827,01,2,2,1.0,1.0,1.0,0.154,3,44.0,52.4,1,0,0.18,5.9,40.38,61.54,0.0,0.0,0.0,29.85,32.19
20250827,01,2,2,1.0,1.0,1.0,0.154,1,,,0,0,,3.0,,,,,,,
20250827,01,2,1,6.0,0.0,0.0,0.555,1,,,0,0,,3.0,,,,,,,
20250827,01,2,3,3.0,0.0,1.0,0.114,3,37.0,52.0,1,0,0.17,5.33,31.67,53.33,5.61,34.01,53.06,27.27,48.13
20250827,01,2,4,4.0,0.0,0.0,0.087,1,,,0,0,,2.0,,,,,,,
20250827,01,2,2,1.0,1.0,1.0,0.154,1,,,0,0,,4.0,,,,,,,
